guidao_station_name,guidao_line_name,guidao_jingdu_str,guidao_weidu_str,gongjiao_station_name,gongjiao_line_name,gongjiao_jingdu_str,gongjiao_weidu_str,range_str,distance,guidao_line_begin,guidao_line_end,gongjiao_line_begin,gongjiao_line_end,guidao_station_orderid,gongjiao_station_orderid
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,565路,116.18675199987268,39.858147000391504,"[1, 49]",38.0034,张郭庄,善各庄,地铁园博园站,怪村公交场站,0,1
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,565路,116.18675199987268,39.858147000391504,"[1, 49]",38.0034,张郭庄,善各庄,地铁园博园站,怪村公交场站,0,1
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,574路,116.18680099979346,39.858163999552936,"[1, 49]",34.2083,张郭庄,善各庄,京原路口东,大灰厂,0,11
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,574路,116.18680099979346,39.858163999552936,"[1, 49]",34.2083,张郭庄,善各庄,京原路口东,大灰厂,0,11
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,830路,116.18680600042072,39.85817000003901,"[1, 49]",33.9377,张郭庄,善各庄,菜户营桥西,怪村公交场站,0,17
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,830路,116.18680600042072,39.85817000003901,"[1, 49]",33.9377,张郭庄,善各庄,菜户营桥西,怪村公交场站,0,17
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站(东行),专146路,116.18686599943399,39.85778599965214,"[1, 49]",44.7005,张郭庄,善各庄,槐树岭公交场站,槐树岭公交场站,0,2
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站(西行),专146路,116.18679300025116,39.85815999985453,"[1, 49]",34.7884,张郭庄,善各庄,槐树岭公交场站,槐树岭公交场站,0,7
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站(东行),专146路,116.18686599943399,39.85778599965214,"[1, 49]",44.7005,张郭庄,善各庄,槐树岭公交场站,槐树岭公交场站,0,2
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站(西行),专146路,116.18679300025116,39.85815999985453,"[1, 49]",34.7884,张郭庄,善各庄,槐树岭公交场站,槐树岭公交场站,0,7
